IdSubject,IdQuestion,x1a,x2a,x3a,x4a,p1a,p2a,p3a,p4a,x1b,x2b,x3b,x4b,p1b,p2b,p3b,p4b,Rank,UpDown,Preference,TimeChoice
10009157,1,267,313,453,546,0.1,0.8,0.05,0.05,127,220,406,,0.15,0.05,0.8,,7,1,1,2009.10.03.10.07.40
10009157,2,159,221,408,,0.7,0.1,0.2,,34,97,346,,0.1,0.3,0.6,,6,1,1,2009.10.03.10.06.55
10009157,3,183,233,384,485,0.7,0.05,0.1,0.15,32,132,334,,0.15,0.05,0.8,,53,1,1,2009.10.03.10.29.22
10009157,4,223,263,383,,0.4,0.5,0.1,,143,183,343,,0.1,0.4,0.5,,16,1,2,2009.10.03.10.14.58
10009157,5,127,255,287,,0.7,0.05,0.25,,95,191,223,,0.15,0.05,0.8,,3,1,2,2009.10.03.10.04.41
10009157,6,103,213,377,,0.6,0.15,0.25,,48,158,267,322,0.3,0.1,0.05,0.55,24,1,2,2009.10.03.10.19.00
10009157,7,92,245,,,0.85,0.15,,,16,130,206,,0.1,0.7,0.2,,26,2,2,2009.10.03.10.20.13
10009157,8,135,290,329,,0.55,0.35,0.1,,96,213,251,,0.25,0.05,0.7,,45,2,1,2009.10.03.10.27.24
10009157,9,209,309,459,,0.35,0.55,0.1,,159,259,359,409,0.05,0.55,0.1,0.3,15,2,1,2009.10.03.10.14.07
10009157,10,221,504,,,0.85,0.15,,,80,292,434,,0.05,0.7,0.25,,52,2,2,2009.10.03.10.29.14
10009157,11,64,188,313,,0.4,0.1,0.5,,2,126,251,375,0.25,0.4,0.1,0.25,66,1,2,2009.10.03.10.33.31
10009157,12,122,270,418,,0.15,0.8,0.05,,48,196,344,492,0.1,0.35,0.45,0.1,27,2,2,2009.10.03.10.20.52
10009157,13,224,416,,,0.55,0.45,,,95,352,480,,0.25,0.7,0.05,,5,2,2,2009.10.03.10.06.16
10009157,14,100,211,,,0.2,0.8,,,64,137,285,,0.2,0.5,0.3,,47,1,2,2009.10.03.10.27.59
10009157,15,257,427,,,0.8,0.2,,,143,370,484,,0.35,0.45,0.2,,50,2,2,2009.10.03.10.28.32
10009157,16,223,416,,,0.45,0.55,,,159,287,544,,0.05,0.7,0.25,,58,2,2,2009.10.03.10.31.04
10009157,17,219,448,,,0.2,0.8,,,143,296,372,601,0.1,0.1,0.7,0.1,21,1,2,2009.10.03.10.17.25
10009157,18,99,225,,,0.8,0.2,,,16,141,183,266,0.1,0.4,0.45,0.05,55,2,2,2009.10.03.10.29.50
