Choice,x1a,x2a,x3a,x4a,p1a,p2a,p3a,p4a,x1b,x2b,x3b,x4b,p1b,p2b,p3b,p4b,MaxMinRP,MinMaxRP,XatMaxPRP,EVa ,EVb ,SQ,,,MaxMin,,,MinMax,,,XatMaxP,,,Exp,,,KR,,,,,,
1,267,313,453,546,0.1,0.8,0.05,0.05,127,220,406,,0.15,0.05,0.8,,267,406,313,327.05,354.85,2,60.05,64.5,2,-167.25,-102.3,2,9.45,9.3,2,-17.245,-40.92,2,305.8925,313.2325,2,0,0,0,0,0,0
2,159,221,408,,0.7,0.1,0.2,,34,97,346,,0.1,0.3,0.6,,159,346,159,215,240.1,2,56,50,2,-274.4,-211.8,2,56,50,1,-39.2,-63.54,2,172.06,174.67,2,0,0,0,0,0,0
3,183,233,384,485,0.7,0.05,0.1,0.15,32,132,334,,0.15,0.05,0.8,,183,334,334,250.9,278.6,2,67.9,70.4,2,-193.85,-110.8,2,-193.85,-110.8,2,-48.425,-44.32,2,199.21,233.53,2,0,0,0,0,0,0
4,223,263,383,,0.4,0.5,0.1,,143,183,343,,0.1,0.4,0.5,,223,343,263,259,259,2,36,12,1,-172,-168,2,-20,-48,1,-14.4,-42,1,238.6,215.4,1,1,0,1,1,1,0
5,127,255,287,,0.7,0.05,0.25,,95,191,223,,0.15,0.05,0.8,,127,223,223,173.4,202.2,2,46.4,70.4,2,-116.8,-41.6,2,-116.8,-41.6,2,-32.48,-16.64,2,140.52,184.84,2,0,0,0,0,0,0
6,103,213,377,,0.6,0.15,0.25,,48,158,267,322,0.3,0.1,0.05,0.55,103,322,103,188,220.65,2,85,101.15,2,-281.75,-202.7,2,85,101.15,2,-51,-58.06,2,130.85,157.7775,2,0,0,0,0,0,0
7,92,245,,,0.85,0.15,,,16,130,206,,0.1,0.7,0.2,,92,206,92,114.95,133.8,2,22.95,34.2,2,-187.95,-144.4,2,22.95,34.2,2,-19.5075,-14.44,2,95.4425,111.38,2,0,0,0,0,0,0
8,135,290,329,,0.55,0.35,0.1,,96,213,251,,0.25,0.05,0.7,,135,251,251,208.65,210.35,2,73.65,65.6,1,-106.15,-81.3,2,-106.15,-81.3,2,-40.5075,-28.5875,2,166.7775,180.4325,2,1,0,1,0,0,1
9,209,309,459,,0.35,0.55,0.1,,159,259,359,409,0.05,0.55,0.1,0.3,209,409,309,289,309,2,80,97.5,2,-245,-200,2,-55,-35,2,-28,-35,2,252.75,269.75,2,0,0,0,0,0,0
10,221,504,,,0.85,0.15,,,80,292,434,,0.05,0.7,0.25,,221,434,221,263.45,316.9,2,42.45,88.85,2,-351.6,-234.2,2,42.45,88.85,2,-36.0825,-29.275,2,227.3675,280.205,2,0,0,0,0,0,0
11,64,188,313,,0.4,0.1,0.5,,2,126,251,375,0.25,0.4,0.1,0.25,64,313,313,200.9,169.75,1,136.9,90.25,1,-224.2,-302,1,-224.2,-302,1,-56.05,-59.4375,1,139.89,94.8125,1,0,0,0,0,0,0
12,122,270,418,,0.15,0.8,0.05,,48,196,344,492,0.1,0.35,0.45,0.1,122,418,270,255.2,277.4,2,133.2,148,2,-325.6,-288.6,2,-37,-40.7,2,-19.98,-51.43,1,229.3,214.13,1,0,0,0,1,1,1
13,224,416,,,0.55,0.45,,,95,352,480,,0.25,0.7,0.05,,224,416,352,310.4,294.15,1,86.4,37.9,1,-211.2,-246.9,1,-112,-122.1,1,-47.52,-49.7875,1,262.88,239.8825,1,0,0,0,0,0,0
14,100,211,,,0.2,0.8,,,64,137,285,,0.2,0.5,0.3,,100,211,211,188.8,166.8,1,88.8,59.6,1,-44.4,-110.6,1,-44.4,-110.6,1,-17.76,-35.46,1,171.04,124.04,1,0,0,0,0,0,0
15,257,427,,,0.8,0.2,,,143,370,484,,0.35,0.45,0.2,,257,427,257,291,313.35,2,34,16.45,2,-272,-238.7,2,34,16.45,1,-27.2,-59.6225,1,263.8,243.4675,1,0,0,0,1,1,1
16,223,416,,,0.45,0.55,,,159,287,544,,0.05,0.7,0.25,,223,416,287,329.15,344.85,2,106.15,118.65,2,-173.7,-174.3,2,13.35,51.45,2,-47.7675,-49.7875,2,281.3825,290.5825,2,0,0,0,0,0,0
17,219,448,,,0.2,0.8,,,143,296,372,601,0.1,0.1,0.7,0.1,219,448,448,402.2,364.4,1,183.2,137.8,1,-91.6,-182.5,1,-91.6,-182.5,1,-36.64,-28.98,1,365.56,317.86,1,0,0,0,0,0,0
18,99,225,,,0.8,0.2,,,16,141,183,266,0.1,0.4,0.45,0.05,99,225,99,124.2,153.65,2,25.2,46.35,2,-201.6,-144.75,2,25.2,46.35,2,-20.16,-18.825,2,104.04,127.9575,2,0,0,0,0,0,0
19,94,187,,,0.3,0.7,,,64,125,156,248,0.25,0.3,0.05,0.4,94,187,187,159.1,160.5,2,65.1,59,1,-55.8,-77.4,1,-55.8,-77.4,1,-19.53,-35,1,139.57,119.31,1,1,1,0,1,1,0
20,203,317,,,0.75,0.25,,,127,241,279,354,0.35,0.05,0.45,0.15,203,317,203,231.5,235.15,2,28.5,5.55,1,-171,-169.25,2,28.5,5.55,1,-21.375,-37.8525,1,210.125,190.5325,1,1,0,1,1,1,0
21,138,245,,,0.55,0.45,,,30,84,191,352,0.05,0.05,0.85,0.05,138,245,191,186.15,185.65,1,48.15,39.55,1,-117.7,-124.05,1,-34,-18.75,2,-26.4825,-12.865,2,159.6675,165.8075,2,0,0,0,1,1,1
22,118,200,,,0.8,0.2,,,64,91,173,228,0.2,0.1,0.6,0.1,118,200,118,134.4,148.5,2,16.4,17,2,-131.2,-105.8,2,16.4,17,2,-13.12,-22.65,2,121.28,122.01,2,0,0,0,0,0,0
23,232,374,,,0.4,0.6,,,91,161,303,515,0.05,0.1,0.6,0.25,232,374,374,317.2,331.2,2,85.2,85.05,2,-113.6,-120.85,2,-113.6,-120.85,1,-34.08,-45.95,2,283.12,270.02,1,0,0,0,0,1,1
24,233,344,,,0.7,0.3,,,159,196,307,381,0.3,0.2,0.1,0.4,233,344,233,266.3,270,2,33.3,7.4,1,-155.4,-162.8,1,33.3,7.4,1,-23.31,-48.1,1,242.99,216.72,1,1,1,0,1,1,0
25,251,358,,,0.7,0.3,,,143,304,412,465,0.05,0.85,0.05,0.05,251,358,304,283.1,309.4,2,32.1,53,2,-149.8,-105.25,2,-58,-2.65,2,-22.47,-12.91,2,260.63,289.515,2,0,0,0,0,0,0
26,105,278,,,0.25,0.75,,,48,163,336,394,0.25,0.4,0.1,0.25,105,278,278,234.75,209.3,1,129.75,90.05,1,-86.5,-172.2,1,-86.5,-172.2,1,-32.4375,-58.845,1,202.3125,137.505,1,0,0,0,0,0,0
27,183,302,,,0.6,0.4,,,64,242,361,421,0.15,0.7,0.1,0.05,183,302,242,230.6,236.15,2,47.6,35.3,1,-142.8,-143.55,2,-46.8,-32.55,2,-28.56,-25.8225,2,202.04,195.4325,1,1,0,1,0,1,0
28,61,179,,,0.45,0.55,,,22,101,218,257,0.4,0.05,0.5,0.05,61,179,179,125.9,135.7,2,64.9,59.1,2,-106.2,-110,2,-106.2,-110,1,-29.205,-47.215,1,96.695,85.93,1,0,0,0,1,1,1
29,147,367,,,0.6,0.4,,,0,74,367,,0.25,0.05,0.7,,147,367,367,235,260.6,2,88,73.2,2,-264,-212.8,2,-264,-212.8,2,-52.8,-74.48,2,182.2,185.195,2,0,0,0,0,0,0
30,99,251,,,0.6,0.4,,,48,251,,,0.4,0.6,,,99,251,99,159.8,169.8,2,60.8,50.4,1,-182.4,-162.4,2,60.8,50.4,1,-36.48,-48.72,1,123.32,121.08,1,1,0,1,1,1,0
31,259,558,,,0.75,0.25,,,159,359,558,,0.15,0.7,0.15,,259,558,259,333.75,358.85,2,74.75,84.85,2,-448.5,-398.3,2,74.75,84.85,2,-56.0625,-29.9775,2,277.6875,307.9775,2,0,0,0,0,0,0
32,168,397,,,0.6,0.4,,,16,92,397,,0.05,0.4,0.55,,168,397,168,259.6,255.95,1,91.6,49.95,1,-274.8,-282.1,1,91.6,49.95,1,-54.96,-77.5775,1,204.64,176.8525,1,0,0,0,0,0,0
33,209,407,,,0.75,0.25,,,143,407,,,0.5,0.5,,,209,407,209,258.5,275,2,49.5,33,2,-297,-264,2,49.5,33,1,-37.125,-66,1,221.375,209,1,0,0,0,1,1,1
34,120,243,,,0.75,0.25,,,80,161,243,,0.15,0.7,0.15,,120,243,120,150.75,161.15,2,30.75,35.15,2,-184.5,-163.7,2,30.75,35.15,2,-23.0625,-12.2775,2,127.6875,140.3675,2,0,0,0,0,0,0
35,142,209,277,,0.7,0.05,0.25,,74,108,277,,0.4,0.1,0.5,,142,277,142,179.1,178.9,1,37.1,6.3,1,-195.8,-196.2,1,37.1,6.3,1,-25.97,-49.05,1,152.28,128.49,1,0,0,0,0,0,0
