IdSubject,Age,Gender
17971188,24,Female
15890978,27,Female
15985441,24,Female
18140102,32,
15626528,25,Female
12739409,23,Female
12933157,26,
18774238,25,Female
12038109,25,Female
10250711,27,Female
16310793,24,Male
17780657,29,Female
16703539,39,Female
13791438,25,Female
15683278,21,Female
18836659,24,Female
16302680,25,Female
16531877,23,Female
10723386,39,Female
15221024,38,Female
15046550,23,Female
19457393,20,Male
10118861,20,Male
19049087,20,Female
13689192,20,Male
16940868,19,Male
15991384,20,Male
19170441,22,Female
18939286,20,Female
14991784,33,Female
11763781,33,Female
15321549,34,Female
15578979,21,Male
12825488,21,Male
16233158,22,Male
11114771,20,Male
18590613,21,Male
11607852,22,Male
12179318,22,Male
12561418,20,Male
15336478,23,Male
19923613,23,Female
11017025,22,Female
12939898,22,Male
17497608,21,Female
15422693,20,Female
18334847,21,Female
16698503,22,Male
11334567,21,Male
11247423,20,Male
10729659,22,Male
11179395,18,Female
16268730,23,Male
18111047,20,Female
14541852,19,Male
18380731,18,Female
19124165,22,Male
18767381,25,Male
19109666,19,Male
10202134,21,Male
17230131,19,Male
10463563,23,Male
18053190,19,Male
13282995,22,Male
13409839,22,Male
18074857,23,Male
14665561,20,Male
10196816,20,Male
18390058,21,Male
19132783,22,Male
12527370,20,Male
13969517,17,Female
10043086,23,Male
15888691,20,Male
13863419,19,Male
11683501,19,Male
10432309,21,Male
15400688,25,Male
19546427,21,Male
16538272,22,Female
17061269,26,Male
10469422,21,Male
16890002,22,Male
12682834,21,Male
13518342,19,Male
11296557,21,Male
17568947,21,Female
18596346,20,Male
14503532,21,Male
19802015,26,Male
14700544,25,Male
10701662,18,Male
18127111,22,Female
15673316,21,Male
12708787,20,Male
19101485,20,Male
11403137,21,Male
15979613,22,Male
11797981,25,Male
11288806,19,Female
18141977,19,Male
18115430,20,Female
14194510,23,Male
13941653,23,Female
10810910,20,Male
17353514,21,Male
19878412,21,Male
15553985,21,Male
18550588,21,Male
19256901,21,Female
12961393,21,Male
13258640,21,Female
15140851,22,Male
10009157,19,Male
10593430,21,Male
19722691,21,Female
16118229,18,Male
16111933,21,Male
17753385,22,Male
14423223,21,Male
15911844,20,Male
18637240,22,Male
13562939,21,Male
13070969,22,Male
18432587,44,Female
18101045,47,Male
13435366,21,Male
10828061,21,Male
10303767,22,Female
15675203,20,Male
11262300,21,Male
14100921,20,Female
18442025,20,Male
10451761,21,Male
10530591,22,Male
16163614,18,Female
12062841,19,Female
14705646,25,Male
16120010,25,Male
